hunt_code,open_date,close_date,bag_limit_description,notes
49-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
49-1,2026-11-07,2026-12-21,Antlerless elk,Regular season
49-4,2026-09-15,2026-10-31,Antlerless elk,Regular season; Quota: 100
49-4-ARCH,2026-09-01,2026-09-14,Antlerless elk,Special archery season
49-4,2026-11-07,2026-12-21,Antlerless elk,Regular season
49-6,2026-10-09,2026-10-31,Cow or calf,Regular season; Quota: 350
49-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
49-7,2026-11-07,2026-12-21,Cow or calf,Regular season; Quota: 500
49-7-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
51-1,2026-10-01,2026-10-31,Any elk south and west of the Clarks Fork River,Regular season; Quota: 120
51-2,2026-10-01,2026-10-31,Any elk north and east of the Clarks Fork River,Regular season; Quota: 40
51-4,2026-11-16,2026-12-15,Antlerless elk,Regular season; Quota: 50
51-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 80
54-1,2026-10-01,2026-10-31,Any elk valid south of the Clarks Fork River; also valid in Area 65,Regular season; Quota: 65
54-2,2026-10-01,2026-10-31,Any elk valid north of the Clarks Fork River,Regular season; Quota: 25
54-3,2026-11-01,2026-11-30,Any elk,Regular season; Quota: 10
54-6,2026-10-01,2026-10-31,Cow or calf,Regular season; Quota: 100
54-7,2026-08-15,2026-12-21,Cow or calf valid on private land,Regular season; Quota: 100
54-9,2026-09-01,2026-09-30,"Any elk, archery only; also valid in Area 65",Regular season; Quota: 40
55-1,2026-10-01,2026-10-31,Any elk,Regular season; Quota: 60
55-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
55-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 25
56-Gen-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
56-Gen,2026-10-01,2026-10-21,Antlered elk,Regular season
56-1,2026-11-05,2026-11-30,Any elk; also valid in Area 55,Regular season; Quota: 10
56-1-ARCH,2026-09-01,2026-09-30,Any elk; also valid in Area 55,Special archery season
56-6,2026-10-01,2026-12-21,Cow or calf,Regular season; Quota: 150
56-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
56-7-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
56-7,2026-09-01,2026-09-30,Cow or calf valid on or within one- half (1/2) mile of irrigated land within the North Fork Shoshone River drainage,Regular season; Quota: 150
56-7,2026-10-01,2026-12-21,Cow or calf valid off national forest,Regular season
56-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 30
58-1,2026-10-01,2026-11-30,Any elk,Regular season; Quota: 35
58-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
58-6,2026-10-01,2026-12-21,Cow or calf,Regular season; Quota: 200
58-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
59-Gen-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
59-Gen,2026-10-01,2026-10-21,Antlered elk,Regular season
59-1,2026-11-01,2026-11-30,Any elk,Regular season; Quota: 10
59-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
59-6,2026-10-01,2026-12-21,Cow or calf,Regular season; Quota: 175
59-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
59-7-ARCH,2026-09-01,2026-09-30,Cow or calf valid in the entire area,Special archery season
59-7,2026-10-01,2026-11-15,Cow or calf valid within the Washakie Wilderness,Regular season; Quota: 50
59-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 25
60-Gen-ARCH,2026-09-01,2026-09-19,Any elk,Special archery season
60-Gen,2026-09-20,2026-10-22,Antlered elk,Regular season
60-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 20
61-1-ARCH,2026-09-01,2026-09-30,"Any elk valid in the entire area, also valid in that portion of Area 62 within the Washakie Wilderness south of Avalanche Creek",Special archery season
61-1,2026-10-01,2026-10-31,"Any elk valid within the Washakie Wilderness, also valid in that portion of Area 62 within the Washakie Wilderness south of Avalanche Creek",Regular season; Quota: 150
61-2,2026-10-07,2026-11-15,Any elk,Regular season; Quota: 50
61-2-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
61-4,2026-10-15,2026-12-21,Antlerless elk,Regular season; Quota: 200
61-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
61-6,2026-11-07,2026-12-21,Cow or calf,Regular season; Quota: 400
61-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
61-7,2026-09-01,2026-12-21,Cow or calf valid on or within one- half (1/2) mile of irrigated land or north of and including the Rawhide Creek drainage,Regular season; Quota: 500
61-7,2027-01-01,2027-01-15,Cow or calf valid on or within one- half (1/2) mile of irrigated land or north of and including the Rawhide Creek drainage,Regular season
61-9,2026-09-01,2026-09-30,"Any elk, archery only valid within the Washakie Wilderness; also valid in that portion of Area 62 within the Washakie Wilderness south of Avalanche Creek",Regular season; Quota: 25
62-1,2026-10-01,2026-10-21,Any elk,Regular season; Quota: 125
62-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
62-4,2026-10-01,2026-10-21,Antlerless elk,Regular season; Quota: 75
62-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
"62, 63-5",2026-10-22,2026-12-21,Antlerless elk,Regular season; Quota: 175
"62, 63-5-ARCH",2026-09-01,2026-09-30,Antlerless elk,Special archery season
"63, 64-1",2026-10-01,2026-10-21,Any elk,Regular season; Quota: 200
"63, 64-1-ARCH",2026-09-01,2026-09-30,Any elk,Special archery season
"63, 64-2",2026-10-01,2026-10-21,Any elk valid within the Washakie Wilderness,Regular season; Quota: 35
"63, 64-2-ARCH",2026-09-01,2026-09-30,Any elk valid within the Washakie Wilderness,Special archery season
"63, 64-3",2026-11-01,2026-11-15,Any elk,Regular season; Quota: 75
"63, 64-3-ARCH",2026-09-01,2026-09-30,Any elk,Special archery season
63-4,2026-10-01,2026-12-21,Antlerless elk,Regular season; Quota: 100
