License Year,Hunting,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points,4 or More Points
2023,580,wt,R,918,4604,5,509,266,239,4,3,495,40,222
2023,580,wt,SUM,1145,5774,5,613,329,280,4,6,596,55,270
2023,590,all_deer,N,264,1598,6,143,116,27,0,9,134,24,92
2023,590,all_deer,R,3677,21612,6,1725,1109,601,16,106,1602,394,711
2023,590,all_deer,SUM,3941,23209,6,1868,1225,628,16,115,1736,418,804
2023,590,md,N,264,1598,6,75,69,6,0,6,69,21,48
2023,590,md,R,3677,21612,6,958,690,256,13,25,928,303,383
2023,590,md,SUM,3941,23209,6,1033,758,262,13,31,997,324,431
2023,590,wt,N,264,1598,6,69,48,21,0,3,66,3,45
2023,590,wt,R,3677,21612,6,767,419,345,3,81,674,91,328
2023,590,wt,SUM,3941,23209,6,836,467,366,3,84,740,94,373
2023,5XX,all_deer,N,42,197,5,24,21,3,0,0,24,9,12
2023,5XX,all_deer,R,92,446,5,44,27,17,0,0,44,10,17
2023,5XX,all_deer,SUM,134,644,5,67,48,20,0,0,67,19,29
2023,5XX,md,N,42,197,5,12,12,0,0,0,12,6,6
2023,5XX,md,R,92,446,5,20,20,0,0,0,20,10,10
2023,5XX,md,SUM,134,644,5,32,32,0,0,0,32,16,16
2023,5XX,wt,N,42,197,5,12,9,3,0,0,12,3,6
2023,5XX,wt,R,92,446,5,23,7,17,0,0,23,0,7
2023,5XX,wt,SUM,134,644,5,35,16,20,0,0,35,3,13
2023,600,all_deer,N,507,2572,5,334,193,136,5,3,328,44,146
2023,600,all_deer,R,1891,11463,6,1217,642,567,8,28,1177,174,464
2023,600,all_deer,SUM,2398,14035,6,1551,835,703,13,31,1506,218,610
2023,600,md,N,507,2572,5,235,151,78,5,3,232,35,113
2023,600,md,R,1891,11463,6,786,452,330,4,16,759,140,311
2023,600,md,SUM,2398,14035,6,1021,603,408,9,19,991,176,425
2023,600,wt,N,507,2572,5,99,42,57,0,0,96,9,33
2023,600,wt,R,1891,11463,6,431,190,237,4,12,419,34,153
2023,600,wt,SUM,2398,14035,6,530,232,294,4,12,515,43,186
2023,620,all_deer,N,404,1851,5,261,218,43,0,3,258,45,173
2023,620,all_deer,R,922,5348,6,379,233,146,0,3,372,71,162
2023,620,all_deer,SUM,1326,7199,5,640,450,189,0,6,630,116,335
2023,620,md,N,404,1851,5,217,191,27,0,3,214,39,152
2023,620,md,R,922,5348,6,256,176,81,0,0,253,64,112
2023,620,md,SUM,1326,7199,5,474,366,107,0,3,467,103,264
2023,620,wt,N,404,1851,5,43,27,17,0,0,43,6,21
2023,620,wt,R,922,5348,6,123,57,65,0,3,119,7,51
2023,620,wt,SUM,1326,7199,5,166,84,82,0,3,163,13,71
2023,621,all_deer,N,289,1686,6,166,131,35,0,0,166,39,92
2023,621,all_deer,R,535,3057,6,154,131,22,0,0,154,51,81
2023,621,all_deer,SUM,824,4743,6,320,263,57,0,0,320,89,173
2023,621,md,N,289,1686,6,124,119,5,0,0,124,39,81
2023,621,md,R,535,3057,6,118,108,10,0,0,118,40,67
2023,621,md,SUM,824,4743,6,242,227,15,0,0,242,79,148
2023,621,wt,N,289,1686,6,42,12,30,0,0,42,0,12
2023,621,wt,R,535,3057,6,36,24,12,0,0,36,10,14
2023,621,wt,SUM,824,4743,6,78,36,42,0,0,78,10,25
2023,622,all_deer,N,129,658,5,101,95,5,0,0,101,39,57
2023,622,all_deer,R,347,1685,5,83,81,3,0,4,79,20,61
2023,622,all_deer,SUM,475,2343,5,184,176,8,0,4,180,59,117
2023,622,md,N,129,658,5,94,92,2,0,0,94,39,54
2023,622,md,R,347,1685,5,72,70,3,0,0,72,20,50
2023,622,md,SUM,475,2343,5,167,162,5,0,0,167,59,103
2023,622,wt,N,129,658,5,6,3,3,0,0,6,0,3
2023,622,wt,R,347,1685,5,11,11,0,0,4,7,0,11
2023,622,wt,SUM,475,2343,5,17,14,3,0,4,13,0,14
2023,630,all_deer,N,1010,5055,5,706,614,86,6,9,697,193,421
2023,630,all_deer,R,954,5667,6,600,339,260,0,69,520,55,281
2023,630,all_deer,SUM,1964,10722,6,1306,953,346,6,78,1217,247,702
2023,630,md,N,1010,5055,5,627,560,60,6,6,621,187,373
2023,630,md,R,954,5667,6,327,196,131,0,12,313,40,156
2023,630,md,SUM,1964,10722,6,954,757,191,6,18,934,228,529
2023,630,wt,N,1010,5055,5,79,53,26,0,3,76,6,48
2023,630,wt,R,954,5667,6,272,143,129,0,57,207,14,125
2023,630,wt,SUM,1964,10722,6,352,196,155,0,60,284,20,172
2023,640,all_deer,N,1649,8260,5,1511,890,617,3,9,1502,149,738
2023,640,all_deer,R,1893,12409,7,1569,971,594,4,34,1531,167,801
2023,640,all_deer,SUM,3542,20669,6,3079,1861,1211,7,43,3033,316,1539
2023,640,md,N,1649,8260,5,1179,702,474,3,9,1170,143,556
